[2025-09-01 13:47:48] [INFO    ] discord.client: logging in using static token
[2025-09-01 13:47:48] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-09-01 13:47:48] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-09-01 13:47:48] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1409582897006117026', 'username': 'LyricLounge', 'avatar': None, 'discriminator': '1906', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-09-01 13:47:49] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-09-01 13:47:49] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-09-01 13:47:49] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1409582897006117026', 'name': 'LyricLounge', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1409582897006117026', 'username': 'LyricLounge', 'avatar': None, 'discriminator': '1906', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'd0f2623bb45bbd6df4706f323f0070c317b258c524aa211033904d35ff3487be', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1074144319486836786', 'username': 'saharsh8995', 'avatar': None, 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Saharsh', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-09-01 13:47:50] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-09-01 13:47:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-hjvh",{"micros":0.0}]']}}
[2025-09-01 13:47:50] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-09-01 13:47:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-01 13:47:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'LyricLounge', 'primary_guild': None, 'mfa_enabled': False, 'id': '1409582897006117026', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1906', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'f79cc3335b726073d84300e58da4f6a7', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1409584395437740077'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'dubai', 'singapore', 'saudi-arabia', 'hongkong'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1409582897006117026', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-hjvh",{"micros":101113,"calls":["id_created",{"micros":698,"calls":[]},"session_lookup_time",{"micros":350,"calls":[]},"session_lookup_finished",{"micros":9,"calls":[]},"discord-sessions-prd-2-103",{"micros":99613,"calls":["start_session",{"micros":83746,"calls":["discord-api-rpc-6bbfb49fc7-wrhps",{"micros":56807,"calls":["get_user",{"micros":16727},"get_guilds",{"micros":7176},"send_scheduled_deletion_message",{"micros":9},"guild_join_requests",{"micros":1},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":14029},"apex_experiments",{"micros":3554},"user_activities",{"micros":5},"played_application_ids",{"micros":4}]}]},"starting_guild_connect",{"micros":24,"calls":[]},"presence_started",{"micros":253,"calls":[]},"guilds_started",{"micros":61,"calls":[]},"lobbies_started",{"micros":0,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":15512,"calls":[]},"connect_finished",{"micros":15516,"calls":[]},"build_ready",{"micros":10,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-09-01 13:47:50] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-01 13:47:50] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: f79cc3335b726073d84300e58da4f6a7).
[2025-09-01 13:47:50] [DEBUG   ] discord.client: Dispatching event connect
